da_id,population_2016,population_0_to_14,percent_children
35260566,490,70,0.1429
35460072,856,90,0.1051
35201423,353,35,0.0992
35180350,1062,205,0.193
35061073,566,70,0.1237
35190838,475,50,0.1053
35190544,481,60,0.1247
35240066,452,40,0.0885
35060907,389,70,0.1799
35210164,814,155,0.1904
35250110,573,75,0.1309
35440189,507,80,0.1578
35061470,425,80,0.1882
35150158,506,90,0.1779
35181156,786,195,0.2481
35400176,442,65,0.1471
35160124,443,75,0.1693
35061760,888,125,0.1408
35203226,530,85,0.1604
35570289,518,115,0.222
35100052,654,75,0.1147
35300805,845,225,0.2663
35140227,485,90,0.1856
35431275,579,85,0.1468
35470196,786,195,0.2481
35060819,321,50,0.1558
35201014,613,75,0.1223
35211630,683,110,0.1611
35204521,436,50,0.1147
35210897,600,95,0.1583
35250230,507,75,0.1479
35470239,798,95,0.119
35580137,466,35,0.0751
35203629,250,40,0.16
35200292,951,205,0.2156
35150058,375,50,0.1333
35010352,440,85,0.1932
35201960,1027,210,0.2045
35202409,636,80,0.1258
35203060,280,45,0.1607
35100176,524,55,0.105
35120315,465,90,0.1935
35202742,385,50,0.1299
35200991,428,55,0.1285
35201003,580,80,0.1379
35200451,332,50,0.1506
35212112,354,70,0.1977
35370363,239,20,0.0837
35280232,385,70,0.1818
35430923,723,120,0.166
35570169,429,60,0.1399
35431150,489,80,0.1636
35370738,476,50,0.105
35200702,577,100,0.1733
35190970,2040,525,0.2574
35190334,820,255,0.311
35181165,746,210,0.2815
35191139,526,95,0.1806
35201416,470,30,0.0638
35203853,331,35,0.1057
35201073,656,95,0.1448
35260504,670,95,0.1418
35250286,330,35,0.1061
35470189,515,95,0.1845
35300496,505,75,0.1485
35530323,587,100,0.1704
35211693,741,145,0.1957
35250930,657,125,0.1903
35260270,598,90,0.1505
35240609,456,95,0.2083
35300677,499,70,0.1403
35340030,461,50,0.1085
35300089,355,50,0.1408
35300092,536,90,0.1679
35203522,812,135,0.1663
35061019,421,30,0.0713
35180594,569,75,0.1318
35204238,723,135,0.1867
35061404,736,180,0.2446
35180988,415,65,0.1566
35202265,921,140,0.152
35061204,1175,415,0.3532
35180326,412,55,0.1335
35180786,1889,365,0.1932
35204293,469,70,0.1493
35201740,568,115,0.2025
35201015,700,65,0.0929
35250284,387,55,0.1421
35204434,487,60,0.1232
35410204,554,110,0.1986
35290100,535,160,0.2991
35530077,598,65,0.1087
35211915,936,235,0.2511
35390688,1226,225,0.1835
35490173,414,45,0.1087
35300680,426,60,0.1408
